onset	duration	trial_type
12.524	0.000	little flexion
15.474	0.000	ring flexion
18.524	0.000	middle flexion
21.624	0.000	index flexion
24.724	0.000	thumb extension
28.474	0.000	thumb extension
31.524	0.000	index extension
34.423	0.000	middle extension
37.524	0.000	ring extension
40.374	0.000	little extension
44.774	0.000	thumb flexion
47.524	0.000	index flexion
50.574	0.000	middle flexion
53.524	0.000	ring flexion
56.574	0.000	little extension
60.524	0.000	little extension
63.424	0.000	ring extension
66.424	0.000	middle extension
69.474	0.000	index extension
72.674	0.000	thumb extension
76.724	0.000	little flexion
79.624	0.000	ring flexion
82.623	0.000	middle flexion
85.573	0.000	index flexion
88.774	0.000	thumb extension
92.724	0.000	thumb extension
95.574	0.000	index extension
98.573	0.000	middle extension
101.574	0.000	ring extension
104.574	0.000	little extension
109.074	0.000	thumb flexion
112.524	0.000	index flexion
114.573	0.000	middle flexion
117.874	0.000	ring flexion
120.624	0.000	little extension
124.674	0.000	little extension
127.574	0.000	ring extension
130.574	0.000	middle extension
133.574	0.000	index extension
140.873	0.000	little flexion
143.874	0.000	ring flexion
146.773	0.000	middle flexion
149.624	0.000	index flexion
152.823	0.000	thumb extension
156.874	0.000	thumb extension
159.724	0.000	index extension
162.824	0.000	middle extension
165.674	0.000	ring extension
167.823	0.000	little extension
173.074	0.000	thumb flexion
175.774	0.000	index flexion
178.624	0.000	middle flexion
181.724	0.000	ring flexion
184.874	0.000	little extension
188.974	0.000	little extension
192.024	0.000	ring extension
194.674	0.000	middle extension
197.723	0.000	index extension
204.924	0.000	little flexion
207.874	0.000	ring flexion
210.824	0.000	middle flexion
213.774	0.000	index flexion
216.824	0.000	thumb extension
221.073	0.000	thumb extension
223.774	0.000	index extension
226.724	0.000	middle extension
229.774	0.000	ring extension
232.824	0.000	little extension
237.474	0.000	thumb flexion
240.173	0.000	index flexion
242.774	0.000	middle flexion
245.824	0.000	ring flexion
248.824	0.000	little extension
252.974	0.000	little extension
255.774	0.000	ring extension
258.774	0.000	middle extension
262.123	0.000	index extension
