onset	duration	trial_type
8.089	0.000	little flexion
11.189	0.000	ring flexion
14.289	0.000	middle flexion
16.990	0.000	index flexion
20.090	0.000	thumb flexion
25.289	0.000	thumb extension
27.989	0.000	index extension
30.989	0.000	middle extension
34.090	0.000	ring extension
37.089	0.000	little extension
42.890	0.000	thumb flexion
45.089	0.000	index flexion
48.189	0.000	middle flexion
50.989	0.000	ring flexion
53.990	0.000	little flexion
59.089	0.000	little extension
62.090	0.000	ring extension
65.589	0.000	middle extension
68.190	0.000	index extension
71.089	0.000	thumb extension
76.590	0.000	little flexion
79.189	0.000	ring flexion
81.889	0.000	middle flexion
84.989	0.000	index flexion
88.189	0.000	thumb flexion
93.190	0.000	thumb extension
96.089	0.000	index extension
99.090	0.000	middle extension
101.089	0.000	ring extension
104.990	0.000	little extension
110.289	0.000	thumb flexion
113.089	0.000	index flexion
116.290	0.000	middle flexion
119.489	0.000	ring flexion
122.190	0.000	little flexion
127.189	0.000	little extension
130.190	0.000	ring extension
133.390	0.000	middle extension
137.089	0.000	index extension
139.189	0.000	thumb extension
144.789	0.000	little flexion
147.189	0.000	ring flexion
150.189	0.000	middle flexion
153.090	0.000	index flexion
155.989	0.000	thumb flexion
160.990	0.000	thumb extension
164.089	0.000	index extension
167.089	0.000	middle extension
170.089	0.000	ring extension
172.989	0.000	little extension
178.289	0.000	thumb flexion
181.189	0.000	index flexion
184.289	0.000	middle flexion
187.389	0.000	ring flexion
190.189	0.000	little flexion
195.189	0.000	little extension
198.089	0.000	ring extension
201.490	0.000	middle extension
204.190	0.000	index extension
207.389	0.000	thumb extension
212.890	0.000	little flexion
218.089	0.000	middle flexion
221.089	0.000	index flexion
224.190	0.000	thumb flexion
229.190	0.000	thumb extension
232.089	0.000	index extension
235.089	0.000	middle extension
238.089	0.000	ring extension
241.089	0.000	little extension
246.390	0.000	thumb flexion
249.289	0.000	index flexion
251.490	0.000	middle flexion
255.289	0.000	ring flexion
258.090	0.000	little flexion
263.089	0.000	little extension
265.889	0.000	ring extension
269.890	0.000	middle extension
271.989	0.000	index extension
275.189	0.000	thumb extension
