onset	duration	trial_type
21.173	0.000	little flexion
23.373	0.000	ring flexion
26.374	0.000	middle flexion
29.273	0.000	index flexion
32.573	0.000	thumb extension
37.573	0.000	thumb extension
40.273	0.000	index extension
43.273	0.000	middle extension
46.774	0.000	ring extension
49.074	0.000	little extension
55.473	0.000	thumb flexion
57.374	0.000	index flexion
60.273	0.000	middle flexion
63.573	0.000	ring flexion
66.374	0.000	little extension
71.373	0.000	little extension
74.173	0.000	ring extension
77.374	0.000	middle extension
80.274	0.000	index extension
83.773	0.000	thumb extension
88.573	0.000	little flexion
91.273	0.000	ring flexion
94.273	0.000	middle flexion
97.273	0.000	index flexion
100.873	0.000	thumb extension
105.573	0.000	thumb extension
108.274	0.000	index extension
111.373	0.000	middle extension
114.173	0.000	ring extension
117.474	0.000	little extension
122.973	0.000	thumb flexion
125.374	0.000	index flexion
128.574	0.000	middle flexion
131.473	0.000	ring flexion
134.373	0.000	little extension
139.473	0.000	little extension
142.473	0.000	ring extension
145.374	0.000	middle extension
148.874	0.000	index extension
151.373	0.000	thumb extension
157.073	0.000	little flexion
159.273	0.000	ring flexion
162.473	0.000	middle flexion
165.374	0.000	index flexion
168.673	0.000	thumb extension
173.374	0.000	thumb extension
176.274	0.000	index extension
179.274	0.000	middle extension
182.273	0.000	ring extension
185.373	0.000	little extension
191.473	0.000	thumb flexion
193.473	0.000	index flexion
196.274	0.000	middle flexion
199.274	0.000	ring flexion
202.274	0.000	little extension
207.573	0.000	little extension
210.373	0.000	ring extension
213.474	0.000	middle extension
216.374	0.000	index extension
219.373	0.000	thumb extension
224.773	0.000	little flexion
224.874	0.000	index flexion
225.974	0.000	thumb extension
231.674	0.000	index flexion
231.973	0.000	thumb extension
233.673	0.000	thumb extension
233.773	0.000	index flexion
238.873	0.000	little extension
238.973	0.000	ring extension
241.974	0.000	thumb extension
244.473	0.000	index extension
247.273	0.000	middle extension
250.273	0.000	ring extension
253.273	0.000	little extension
259.373	0.000	thumb flexion
261.373	0.000	index flexion
264.474	0.000	middle flexion
267.473	0.000	ring flexion
270.474	0.000	little extension
275.674	0.000	little extension
275.773	0.000	ring extension
278.474	0.000	ring extension
281.274	0.000	middle extension
284.273	0.000	index extension
287.374	0.000	thumb extension
