thumb	176	219	394	687	883	933	1103	1381	1567	1608	1776	2061	2229	2278	2457	2734
index	146	250	423	653	848	958	1125	1522	1639	1802	2029	2201	2307	2481	2700
middle	117	277	452	622	813	989	1183	1319	1493	1665	1827	1999	2173	2338	2507	2673
ring	82	311	483	593	776	1015	1184	1293	1465	1693	1853	2144	2366	2541	2645
little	52	345	514	571	748	1047	1213	1259	1437	1721	1883	1936	2111	2399	2571	2620
