onset	duration	trial_type
16.447	0.000	little flexion
19.347	0.000	ring flexion
22.347	0.000	middle flexion
25.347	0.000	index flexion
28.347	0.000	thumb extension
33.347	0.000	thumb extension
36.147	0.000	index extension
38.647	0.000	middle extension
41.947	0.000	ring extension
45.248	0.000	little extension
50.348	0.000	thumb flexion
53.247	0.000	index flexion
56.247	0.000	middle flexion
59.347	0.000	ring flexion
62.347	0.000	little extension
67.447	0.000	little extension
70.248	0.000	ring extension
72.847	0.000	middle extension
76.147	0.000	index extension
79.247	0.000	thumb extension
84.448	0.000	little flexion
87.247	0.000	ring flexion
90.447	0.000	middle flexion
93.447	0.000	index flexion
96.248	0.000	thumb extension
101.247	0.000	thumb extension
104.347	0.000	index extension
107.247	0.000	middle extension
109.947	0.000	ring extension
113.148	0.000	little extension
118.247	0.000	thumb flexion
121.247	0.000	index flexion
124.048	0.000	middle flexion
127.247	0.000	ring flexion
130.247	0.000	little extension
135.247	0.000	little extension
138.147	0.000	ring extension
141.247	0.000	middle extension
144.247	0.000	index extension
147.247	0.000	thumb extension
152.448	0.000	little flexion
155.347	0.000	ring flexion
158.347	0.000	middle flexion
161.147	0.000	index flexion
164.248	0.000	thumb extension
169.348	0.000	thumb extension
172.047	0.000	index extension
174.947	0.000	middle extension
178.147	0.000	ring extension
181.148	0.000	little extension
186.347	0.000	thumb flexion
189.348	0.000	index flexion
192.447	0.000	middle flexion
195.247	0.000	ring flexion
198.347	0.000	little extension
203.347	0.000	little extension
206.247	0.000	ring extension
208.947	0.000	middle extension
211.847	0.000	index extension
215.147	0.000	thumb extension
220.348	0.000	little flexion
223.347	0.000	ring flexion
226.447	0.000	middle flexion
229.347	0.000	index flexion
232.248	0.000	thumb extension
237.247	0.000	thumb extension
240.247	0.000	index extension
243.348	0.000	middle extension
246.247	0.000	ring extension
249.247	0.000	little extension
254.547	0.000	thumb flexion
257.248	0.000	index flexion
260.247	0.000	middle flexion
263.247	0.000	ring flexion
266.248	0.000	little extension
271.247	0.000	little extension
276.248	0.000	ring extension
277.247	0.000	middle extension
280.347	0.000	index extension
283.247	0.000	thumb extension
