thumb	364	423	786	840	1199	1257	1617	1670	1671	2039	2090	2092	2308	2648	2857	2913	3115	3690	3755	3979	4316	4539	4600	4813	5149
index	325	453	743	870	1159	1292	1579	1692	1693	1993	1994	2123	2330	2609	2820	2947	3157	3446	3657	3788	4005	4291	4501	4632	4843	5120
middle	284	496	706	902	1118	1329	1540	1744	1745	1956	2164	2365	2571	2779	2988	3199	3406	3616	3828	4043	4252	4459	4672	4879	5082
ring	247	536	669	936	1083	1371	1503	1770	1771	1922	2202	2403	2529	2747	3020	3235	3369	3578	3864	4084	4213	4427	4717	4918	5043
little	216	573	645	988	1052	1407	1464	1825	1826	1881	2239	2440	2492	2712	3051	3273	3329	3550	3900	4121	4173	4391	4751	4960	5006
