onset	duration	trial_type
31.721	0.000	little flexion
34.521	0.000	ring flexion
37.371	0.000	middle flexion
40.420	0.000	index flexion
43.370	0.000	thumb flexion
48.420	0.000	thumb extension
51.120	0.000	index extension
54.371	0.000	middle extension
56.820	0.000	ring extension
60.021	0.000	little extension
65.621	0.000	thumb flexion
68.421	0.000	index flexion
70.970	0.000	middle flexion
74.470	0.000	ring flexion
76.971	0.000	little flexion
82.470	0.000	little extension
88.421	0.000	middle extension
91.471	0.000	index extension
94.421	0.000	thumb extension
99.421	0.000	little flexion
102.471	0.000	ring flexion
105.470	0.000	middle flexion
108.371	0.000	index flexion
111.471	0.000	thumb flexion
116.420	0.000	thumb extension
119.320	0.000	index extension
122.321	0.000	middle extension
125.471	0.000	ring extension
128.421	0.000	little extension
133.721	0.000	thumb flexion
136.420	0.000	index flexion
139.470	0.000	middle flexion
142.371	0.000	ring flexion
145.520	0.000	little flexion
150.520	0.000	little extension
153.070	0.000	ring extension
156.371	0.000	middle extension
159.371	0.000	index extension
162.420	0.000	thumb extension
167.420	0.000	little flexion
170.421	0.000	ring flexion
173.421	0.000	middle flexion
176.320	0.000	index flexion
179.420	0.000	thumb flexion
184.471	0.000	thumb extension
187.471	0.000	index extension
190.670	0.000	middle extension
193.570	0.000	ring extension
196.571	0.000	little extension
201.771	0.000	thumb flexion
204.471	0.000	index flexion
207.421	0.000	middle flexion
210.371	0.000	ring flexion
213.321	0.000	little flexion
218.471	0.000	little extension
224.520	0.000	middle extension
227.471	0.000	index extension
230.321	0.000	thumb extension
235.521	0.000	little flexion
238.421	0.000	ring flexion
241.420	0.000	middle flexion
243.621	0.000	index flexion
247.421	0.000	thumb flexion
252.570	0.000	thumb extension
255.370	0.000	index extension
258.420	0.000	middle extension
261.321	0.000	ring extension
264.370	0.000	little extension
269.870	0.000	thumb flexion
272.420	0.000	index flexion
275.421	0.000	middle flexion
278.571	0.000	ring flexion
281.371	0.000	little flexion
286.421	0.000	little extension
288.971	0.000	ring extension
292.020	0.000	middle extension
295.070	0.000	index extension
298.371	0.000	thumb extension
