onset	duration	trial_type
28.966	0.000	little flexion
30.416	0.000	ring flexion
32.216	0.000	middle flexion
34.216	0.000	index flexion
36.166	0.000	thumb flexion
39.166	0.000	thumb extension
40.666	0.000	index extension
42.716	0.000	middle extension
44.716	0.000	ring extension
46.616	0.000	little extension
50.316	0.000	little flexion
51.466	0.000	ring flexion
53.316	0.000	middle flexion
55.166	0.000	index flexion
57.216	0.000	thumb flexion
60.066	0.000	thumb extension
61.716	0.000	index extension
63.266	0.000	middle extension
64.966	0.000	ring extension
67.716	0.000	little extension
70.966	0.000	little flexion
72.416	0.000	ring flexion
74.366	0.000	middle flexion
76.366	0.000	index flexion
78.266	0.000	thumb flexion
81.116	0.000	thumb extension
82.816	0.000	index extension
84.816	0.000	middle extension
86.866	0.000	ring extension
88.766	0.000	little extension
91.566	0.000	little flexion
93.516	0.000	ring flexion
95.416	0.000	middle flexion
97.366	0.000	index flexion
99.316	0.000	thumb flexion
102.016	0.000	thumb extension
103.216	0.000	index extension
105.916	0.000	middle extension
107.316	0.000	ring extension
109.866	0.000	little extension
112.766	0.000	little flexion
114.666	0.000	ring flexion
116.316	0.000	middle flexion
118.266	0.000	index flexion
118.316	0.000	index flexion
120.415	0.000	thumb flexion
123.166	0.000	thumb extension
124.866	0.000	index extension
126.966	0.000	middle extension
128.966	0.000	ring extension
131.016	0.000	little extension
134.566	0.000	thumb flexion
135.716	0.000	index flexion
137.566	0.000	middle flexion
139.416	0.000	ring flexion
141.466	0.000	little flexion
144.066	0.000	little extension
145.966	0.000	ring extension
147.966	0.000	middle extension
149.966	0.000	index extension
151.966	0.000	thumb extension
155.116	0.000	little flexion
156.916	0.000	ring flexion
158.566	0.000	middle flexion
160.516	0.000	index flexion
162.516	0.000	thumb flexion
165.316	0.000	thumb extension
166.966	0.000	index extension
169.016	0.000	middle extension
170.615	0.000	ring extension
172.216	0.000	little extension
175.616	0.000	thumb flexion
177.666	0.000	index flexion
179.716	0.000	middle flexion
181.566	0.000	ring flexion
183.366	0.000	little flexion
186.166	0.000	little extension
188.166	0.000	ring extension
190.066	0.000	middle extension
192.066	0.000	index extension
193.766	0.000	thumb extension
197.266	0.000	little flexion
198.666	0.000	ring flexion
200.666	0.000	middle flexion
202.666	0.000	index flexion
204.216	0.000	thumb flexion
207.466	0.000	thumb extension
209.216	0.000	index extension
211.116	0.000	middle extension
213.016	0.000	ring extension
214.616	0.000	little extension
218.516	0.000	thumb flexion
219.816	0.000	index flexion
221.766	0.000	middle flexion
223.816	0.000	ring flexion
225.716	0.000	little flexion
228.316	0.000	little extension
230.216	0.000	ring extension
232.166	0.000	middle extension
234.216	0.000	index extension
235.516	0.000	thumb extension
239.316	0.000	little flexion
241.016	0.000	ring flexion
242.716	0.000	middle flexion
244.766	0.000	index flexion
246.716	0.000	thumb flexion
249.616	0.000	thumb extension
251.266	0.000	index extension
253.216	0.000	middle extension
255.566	0.000	ring extension
257.316	0.000	little extension
260.366	0.000	thumb flexion
261.916	0.000	index flexion
263.916	0.000	middle flexion
265.816	0.000	ring flexion
267.916	0.000	little flexion
270.366	0.000	little extension
272.316	0.000	ring extension
274.316	0.000	middle extension
276.316	0.000	index extension
277.866	0.000	thumb extension
