thumb	166	210	397	672	856	890	1077	1324	1493	1523	1710	1903	2136	2373	2638
index	139	236	410	640	809	910	1297	1553	1924	2104	2216	2387	2610
middle	109	266	432	606	779	937	1102	1267	1464	1580	1745	2074	2246	2417	2581
ring	81	298	464	736	967	1130	1464	1612	1775	2043	2273	2448
little	59	328	496	551	721	995	1160	1213	1465	1640	1798	1853	2024	2301	2475	2523
