onset	duration	trial_type
9.696	0.000	little flexion
11.697	0.000	ring flexion
14.496	0.000	middle flexion
17.246	0.000	index flexion
20.496	0.000	thumb flexion
25.496	0.000	thumb extension
28.196	0.000	index extension
30.997	0.000	middle extension
33.996	0.000	ring extension
34.446	0.000	little extension
43.146	0.000	thumb flexion
45.846	0.000	index flexion
48.097	0.000	middle flexion
51.147	0.000	ring flexion
54.096	0.000	little flexion
59.096	0.000	little extension
62.046	0.000	ring extension
65.047	0.000	middle extension
68.046	0.000	index extension
71.097	0.000	thumb extension
76.546	0.000	little flexion
79.447	0.000	ring flexion
82.046	0.000	middle flexion
85.247	0.000	index flexion
88.147	0.000	thumb flexion
93.246	0.000	thumb extension
96.096	0.000	index extension
99.097	0.000	middle extension
101.996	0.000	ring extension
105.196	0.000	little extension
110.546	0.000	thumb flexion
116.446	0.000	index flexion
118.396	0.000	middle flexion
120.096	0.000	ring flexion
122.146	0.000	little flexion
127.297	0.000	little extension
130.097	0.000	ring extension
133.046	0.000	middle extension
135.996	0.000	index extension
139.096	0.000	thumb extension
144.446	0.000	little flexion
147.246	0.000	ring flexion
150.147	0.000	middle flexion
153.146	0.000	index flexion
156.146	0.000	thumb flexion
161.247	0.000	thumb extension
164.396	0.000	index extension
167.146	0.000	middle extension
170.247	0.000	ring extension
170.446	0.000	little extension
178.146	0.000	thumb flexion
181.246	0.000	index flexion
184.396	0.000	middle flexion
187.147	0.000	ring flexion
190.196	0.000	little flexion
195.096	0.000	little extension
198.196	0.000	ring extension
201.096	0.000	middle extension
204.046	0.000	index extension
207.146	0.000	thumb extension
212.446	0.000	little flexion
215.847	0.000	ring flexion
221.096	0.000	middle flexion
223.396	0.000	index flexion
224.696	0.000	thumb flexion
229.346	0.000	thumb extension
232.096	0.000	index extension
235.046	0.000	middle extension
238.346	0.000	ring extension
241.447	0.000	little extension
246.346	0.000	thumb flexion
249.347	0.000	index flexion
252.497	0.000	middle flexion
255.647	0.000	ring flexion
257.996	0.000	little flexion
263.196	0.000	little extension
265.946	0.000	ring extension
269.097	0.000	middle extension
272.096	0.000	index extension
275.196	0.000	thumb extension
