thumb	360	460	848	1361	1695	1787	2127	2716	3060	3166	3511	4109	4450	4595	4899	5466
index	307	519	897	1303	1633	1844	2183	2656	3000	3223	3573	4058	4383	4619	4965	5410
middle	251	575	939	1240	1576	1903	2244	2586	2936	3284	3636	3991	4328	4673	5014	5341
ring	193	645	983	1186	1526	1970	2301	2521	2872	3349	3702	3930	4265	4733	5062	5290
little	120	737	1034	1132	1466	2023	2364	2472	2816	3411	3764	3869	4211	4795	5123	5239
