thumb	101	167	219	236	268	339	371	387	533	614
index	47	65	105	155	207	243	271	366	439	508	556	564	618	677
middle	41	74	108	201	250	286	325	362	403	447	494	567	626	666
ring	29	81	113	141	145	191	255	291	317	415	485	551	575	629	649
little	29	90	114	139	184	259	292	311	353	425	452	475	550	594	633
