thumb	197	248	429	993	1186	1648	1717	2410	2479	2675	2970
index	164	279	463	727	910	1023	1205	1449	1628	1741	2200	2511	2707	2940
middle	134	309	885	1059	1417	1607	1777	2164	2555	2907
ring	105	330	858	1094	1370	1809	2323	2575	2872
little	75	363	808	1127	1546	1843	2302	2615	2786
