thumb	191	246	432	710	871	913	1098	1375	1536	1590	1771	2066	2135	2186	2206	2288	2467	2727
index	156	270	453	677	841	941	1127	1353	1513	1620	1793	2042	2123	2183	2207	2318	2481	2693
middle	123	302	483	651	810	973	1163	1317	1485	1649	1821	2005	2348	2510	2669
ring	89	341	511	615	781	1008	1188	1288	1453	1679	1855	1970	2255	2378	2535	2615	2642
little	71	365	537	582	752	1039	1211	1260	1432	1706	1881	1939	2121	2254	2409	2560	2614
