thumb	49	167	219	236	269	339	372	388	437	534	563	615	683
index	47	65	104	207	244	271	335	366	438	508	556	565	618	677
middle	42	73	108	153	201	250	286	325	403	447	494	567	626	666
ring	33	81	113	145	191	254	291	317	415	448	485	553	577	629	649
little	29	89	114	139	184	259	292	311	354	425	452	475	550	594	633	647
