onset	duration	trial_type
32.613	0.000	little flexion
35.512	0.000	ring flexion
38.212	0.000	middle flexion
41.112	0.000	index flexion
44.112	0.000	thumb flexion
48.913	0.000	thumb extension
51.712	0.000	index extension
55.012	0.000	middle extension
57.712	0.000	ring extension
60.813	0.000	little extension
67.212	0.000	thumb flexion
69.712	0.000	index flexion
93.612	0.000	index extension
101.513	0.000	little flexion
105.313	0.000	ring flexion
108.113	0.000	middle flexion
110.212	0.000	index flexion
117.412	0.000	thumb extension
119.912	0.000	index extension
122.913	0.000	middle extension
125.812	0.000	ring extension
129.112	0.000	little extension
135.212	0.000	thumb flexion
137.113	0.000	index flexion
152.712	0.000	ring extension
157.212	0.000	middle extension
160.112	0.000	index extension
169.412	0.000	little flexion
176.212	0.000	middle flexion
178.212	0.000	index flexion
180.112	0.000	thumb flexion
185.712	0.000	thumb extension
187.812	0.000	index extension
190.812	0.000	middle extension
193.912	0.000	ring extension
196.712	0.000	little extension
225.412	0.000	middle extension
228.013	0.000	index extension
237.112	0.000	little flexion
238.912	0.000	ring flexion
247.213	0.000	thumb flexion
253.613	0.000	thumb extension
256.012	0.000	index extension
259.512	0.000	middle extension
261.613	0.000	ring extension
264.812	0.000	little extension
270.513	0.000	thumb flexion
274.012	0.000	index flexion
282.013	0.000	little extension
290.613	0.000	ring extension
293.912	0.000	middle extension
297.113	0.000	index extension
300.112	0.000	thumb extension
