onset	duration	trial_type
23.081	0.000	little flexion
25.031	0.000	ring flexion
28.381	0.000	middle flexion
32.081	0.000	index flexion
33.781	0.000	thumb flexion
42.181	0.000	index extension
44.531	0.000	middle extension
48.731	0.000	ring extension
51.431	0.000	little extension
57.631	0.000	thumb flexion
60.581	0.000	index flexion
63.781	0.000	middle flexion
65.731	0.000	ring flexion
69.881	0.000	little flexion
75.631	0.000	little extension
78.781	0.000	ring extension
81.231	0.000	middle extension
88.231	0.000	thumb extension
94.631	0.000	little flexion
97.181	0.000	ring flexion
101.331	0.000	middle flexion
103.781	0.000	index flexion
106.181	0.000	thumb flexion
112.781	0.000	thumb extension
115.181	0.000	index extension
117.881	0.000	middle extension
120.281	0.000	ring extension
124.431	0.000	little extension
131.981	0.000	thumb flexion
133.031	0.000	index flexion
138.531	0.000	middle flexion
140.831	0.000	ring flexion
142.331	0.000	little flexion
148.431	0.000	little extension
150.981	0.000	ring extension
154.081	0.000	middle extension
156.281	0.000	index extension
159.931	0.000	thumb extension
166.631	0.000	little flexion
174.431	0.000	index flexion
178.231	0.000	thumb flexion
184.581	0.000	thumb extension
190.331	0.000	middle extension
192.831	0.000	ring extension
196.481	0.000	little extension
204.081	0.000	thumb flexion
204.531	0.000	index flexion
207.431	0.000	middle flexion
208.981	0.000	ring flexion
214.481	0.000	little flexion
220.631	0.000	little extension
223.331	0.000	ring extension
226.331	0.000	middle extension
229.031	0.000	index extension
232.481	0.000	thumb extension
239.331	0.000	little flexion
242.931	0.000	ring flexion
248.131	0.000	index flexion
257.431	0.000	thumb extension
260.331	0.000	index extension
262.031	0.000	middle extension
265.231	0.000	ring extension
268.181	0.000	little extension
275.231	0.000	thumb flexion
277.331	0.000	index flexion
280.331	0.000	middle flexion
283.181	0.000	ring flexion
286.331	0.000	little flexion
293.331	0.000	little extension
295.331	0.000	ring extension
298.331	0.000	middle extension
302.831	0.000	index extension
305.031	0.000	thumb extension
